bulk_class	ingredient_name_raw	ingredient_name_normalized	appears_in_media	why_not_directly_GEM_ready	what_extra_determination_would_be_needed	example_resolution_strategy	source_file	source_page
infusion	Calf brains (infusion from 200g)	calf brain infusion	BHI: Brain Heart Broth	Named as a tissue infusion rather than an explicit metabolite list.	Vendor specification, literature composition, or assay-backed decomposition of the infusion.	Keep as unresolved at source stage; add a later explicit source-composition table only if independent evidence is curated.	validation/media/literature_test_media/BHI/53286dat.pdf	1
infusion	Beef heart (infusion from 250g)	beef heart infusion	BHI: Brain Heart Broth	Named as a tissue infusion rather than an explicit metabolite list.	Vendor specification, literature composition, or assay-backed decomposition of the infusion.	Keep as unresolved at source stage; add a later explicit source-composition table only if independent evidence is curated.	validation/media/literature_test_media/BHI/53286dat.pdf	1
peptone	Peptone	peptone	BHI: Brain Heart Broth; Blood agar: Blood Agar Base N° 2; RCM: Reinforced Clostridial Medium	Generic peptone does not expose metabolite-level composition.	Vendor-specific composition or a justified proxy decomposition.	Retain unresolved until a documented composition source is curated.	validation/media/literature_test_media/BHI/53286dat.pdf	1
extract	Liver extract	liver extract	Blood agar: Blood Agar Base N° 2	Extract composition is not stated at metabolite level.	Vendor-specific composition, literature evidence, or wet-lab assay.	Retain unresolved until explicit evidence exists.	validation/media/literature_test_media/blood_agar/TS-4011564.pdf	1
extract	Yeast extract	yeast extract	Blood agar: Blood Agar Base N° 2; FTM: Classical formula; LB: Broth; RCM: Reinforced Clostridial Medium	Extract composition is not stated at metabolite level.	Vendor-specific composition, literature evidence, or wet-lab assay.	Retain unresolved until explicit evidence exists.	validation/media/literature_test_media/blood_agar/TS-4011564.pdf	1
extract	Yeast Extract	yeast extract	FTM: Classical formula	Extract composition is not stated at metabolite level.	Vendor-specific composition, literature evidence, or wet-lab assay.	Retain unresolved until explicit evidence exists.	validation/media/literature_test_media/FTM/IFU112640.pdf	1
blood	Sterile defibrinated sheep or horse blood	defibrinated sheep or horse blood	Blood agar: Blood Agar Base N° 2 + blood	Whole blood is a complex animal material, and the PDF gives only the percentage addition.	Species choice, blood fraction assumptions, and compositional evidence or proxy policy.	Represent as unresolved until a specific blood proxy or composition source is chosen explicitly.	validation/media/literature_test_media/blood_agar/TS-4011564.pdf	1
digest_peptone	Casein Peptone	casein peptone	FTM: Classical formula; MacConkey agar: Classical formula	Digest peptone does not expose metabolite-level composition.	Vendor-specific composition or a justified proxy decomposition.	Retain unresolved until a documented composition source is curated.	validation/media/literature_test_media/FTM/IFU112640.pdf	1
digest_peptone	Tryptone	tryptone	LB: Broth	Tryptone is a casein digest, not an explicit metabolite list.	Vendor-specific composition or a justified proxy decomposition.	Retain unresolved until a documented composition source is curated.	validation/media/literature_test_media/LB/MR_LB.pdf	1
polymer_solidifier	Bacteriological Agar	agar	LB: Agar; Blood agar: Blood Agar Base N° 2; FTM: Classical formula; MacConkey agar: Classical formula; RCM: Reinforced Clostridial Medium; M9: Agar	Agar is a heterogeneous polysaccharide material rather than a metabolite-level formulation.	Proxy policy for solidifier handling or explicit exclusion rationale for broth-focused GEM export.	Use an explicit polymer proxy or exclude at a later transformation stage with provenance.	validation/media/literature_test_media/LB/MR_LB.pdf	1
polymer_solidifier	Agar	agar	Blood agar: Blood Agar Base N° 2; FTM: Classical formula; MacConkey agar: Classical formula; RCM: Reinforced Clostridial Medium	Agar is a heterogeneous polysaccharide material rather than a metabolite-level formulation.	Proxy policy for solidifier handling or explicit exclusion rationale for broth-focused GEM export.	Use an explicit polymer proxy or exclude at a later transformation stage with provenance.	validation/media/literature_test_media/blood_agar/TS-4011564.pdf	1
polymer_solidifier	agar	agar	M9: Agar	Agar is a heterogeneous polysaccharide material rather than a metabolite-level formulation.	Proxy policy for solidifier handling or explicit exclusion rationale for broth-focused GEM export.	Use an explicit polymer proxy or exclude at a later transformation stage with provenance.	validation/media/literature_test_media/M9/MEDIA-M1.pdf	1
digest_peptone	Gelatin Peptone	gelatin peptone	MacConkey agar: Classical formula	Gelatin digest does not expose metabolite-level composition.	Vendor-specific composition or a justified proxy decomposition.	Retain unresolved until a documented composition source is curated.	validation/media/literature_test_media/macconkey_agar/IFU453801.pdf	1
digest_peptone	Meat Peptone	meat peptone	MacConkey agar: Classical formula	Meat digest does not expose metabolite-level composition.	Vendor-specific composition or a justified proxy decomposition.	Retain unresolved until a documented composition source is curated.	validation/media/literature_test_media/macconkey_agar/IFU453801.pdf	1
bile_extract_like	Bile Salts	bile salts	MacConkey agar: Classical formula	The PDF names bile salts as a mixed selective material without compositional resolution.	Specific bile salt composition or a justified proxy representation.	Retain unresolved until an explicit source or proxy rule is curated.	validation/media/literature_test_media/macconkey_agar/IFU453801.pdf	1
extract	Meat extract	meat extract	RCM: Reinforced Clostridial Medium	Extract composition is not stated at metabolite level.	Vendor-specific composition, literature evidence, or wet-lab assay.	Retain unresolved until explicit evidence exists.	validation/media/literature_test_media/RCM/27546dat.pdf	1
polymer	Starch	starch	RCM: Reinforced Clostridial Medium	Polymeric carbohydrate is not a metabolite-level formulation.	Proxy decomposition or later-stage viable export rule.	Use an explicit polymer proxy rule rather than silently expanding to monomers.	validation/media/literature_test_media/RCM/27546dat.pdf	1
digest_peptone	Casein peptone (pancreatic)	casein peptone	TSB: Tryptic Soy Broth	Pancreatic digest does not expose metabolite-level composition.	Vendor-specific composition or a justified proxy decomposition.	Retain unresolved until a documented composition source is curated.	validation/media/literature_test_media/TSB/22092dat.pdf	1
digest_peptone	Soya peptone (papain digest.)	soya peptone	TSB: Tryptic Soy Broth	Papain digest does not expose metabolite-level composition.	Vendor-specific composition or a justified proxy decomposition.	Retain unresolved until a documented composition source is curated.	validation/media/literature_test_media/TSB/22092dat.pdf	1
