pattern_id	pattern_scope	pattern_name	trigger_type	trigger_detail	candidate_interpretation	candidate_response	boundary_note	evidence_ref	confidence	automation_status	note
pat_cim_001	medium_revision	repeated_missing_compound_warning	model_log	Repeated `Potentially missing compounds in medium` signal across strains for a compound absent from the active medium table	Likely medium revision candidate	Add curator-facing proposal row for explicit review; compare against current and prior medium versions	Do not add compounds automatically; medium revision remains curator-decided	/home/andy/Documents/bioreactor/data/dev/diet/decision_log.odt|/home/andy/Documents/bioreactor/media_pipeline/exports/media/bhisproto/bhisproto_draft_01/reports/curator_revision_proposals.tsv	high	proposal_only	CIM history preserved use of log suggestions as a review input, not a fully automatic action
pat_cim_002	mapping_representation	compound_id_or_namespace_correction	mapping_representation	Model warning points to a chemically expected entity but the active medium already contains the same compound under a corrected id or name	Likely mapping or representation issue	Flag as representation review before proposing concentration changes	Representation correction must stay distinct from environmental supplementation	/home/andy/Documents/bioreactor/data/dev/diet/decision_log.odt|/home/andy/Documents/bioreactor/data/diets/cim.csv	high	proposal_only	Preserved CIM notes explicitly mention invalid cpd ids and later replacements
pat_cim_003	medium_revision	minimum_detectable_flux_floor	recipe_to_export	Trace compound flux is calculated below practical lower bound and historical workflow manually floors it	Curator may choose a reporting floor for numerical viability	Create review note with original value and floored candidate value; never overwrite silently	Numerical floors are policy-like curation decisions, not raw source truth	/home/andy/Documents/bioreactor/data/dev/diet/decision_log.odt	high	catalog_only	Preserved for vitamin B12 and folate in the CIM log
pat_cim_004	medium_revision	aqueous_salt_split_to_ions	recipe_to_export	Salts in aqueous medium were historically split into ions for model-facing export	Likely export representation pattern	Maintain explicit salt-to-ion transformation rules and provenance	Salt splitting is a medium/export transformation, not adapt logic	/home/andy/Documents/bioreactor/data/dev/diet/decision_log.odt|/home/andy/Documents/bioreactor/data/diets/cim14.csv	high	catalog_only	Already aligned with current viable export transformation stage
pat_cim_005	medium_revision	polymer_registered_as_proxy_polymer	recipe_to_export	Complex carbohydrate is represented by a registered polymer/proxy compound rather than monomer expansion	Likely viable export representation choice	Use explicit polymer proxy rule with provenance and upstream reference where available	Proxy choice should remain visible to curators and not be hidden in code	/home/andy/Documents/bioreactor/data/dev/diet/decision_log.odt|/home/andy/Documents/bioreactor/data/diets/cim16.csv	high	catalog_only	CIM notes explicitly mention starch, pectin, cellulose, xylan, inulin conventions
pat_cim_006	reconstruction_boundary	uptake_at_limit_not_sufficient_alone	model_log	`Uptake at limit` appears for supplied or plausibly supplied compounds	Signal may indicate medium insufficiency, export representation, or reconstruction/adapt-side issue	Harvest as diagnostic evidence only; require curator classification before any response	Uptake-limited signals must not be converted directly into medium increases	/home/andy/Documents/bioreactor/data/dev/diet/decision_log.odt	high	blocked_for_automation	Preserved CIM notes discuss folate and CO2 uptake-at-limit without implying a single automatic rule
pat_cim_007	reconstruction_boundary	candidate_reactions_still_fail	model_log	Model cannot produce enough target even when candidate reactions are added	Possible reconstruction or adapt-side issue	Emit explicit boundary-separated proposal row; do not convert to medium change	Failure after candidate reactions is not evidence for automatic medium supplementation	/home/andy/Documents/bioreactor/media_pipeline/validation/media/bhisproto/bhisproto_draft_01/model_diagnostic_signals.tsv	high	proposal_only	Observed in preserved BHI logs across all strains
pat_bhi_001	workflow_provenance	recipe_component_source_extraction	literature_or_wetlab_source	Complex ingredient decomposition was sourced from external literature or collaborator assay rather than from the recipe sheet itself	Requires explicit source-composition capture	Record source composition rows first, then derive ingredient-component composition	Do not collapse literature, collaborator, and inferred evidence into one opaque decomposition	/home/andy/Documents/bioreactor/data/dev/diet/LB_Steps_autolysed_yeast_nofatty acids.ods|/home/andy/Documents/bioreactor/data/wet/caseinpeptone_analysis/Avg_conc_0.2perc_peptone_250327.csv	high	catalog_only	Applies immediately to yeast extract and casein peptone evidence
pat_bhi_002	workflow_provenance	inferred_complex_mix_decomposition	inferred_decomposition	Brain heart infusion contents were inferred rather than preserved as primary source composition	Needs explicit provenance downgrade and curator review	Capture inferred component rows separately and mark them as inferred for later replacement	Inferred decomposition must not be presented as equivalent to literature or wet-lab evidence	/home/andy/Documents/bioreactor/data/dev/diet/bhi/S1_BHIS_YanWang.ods	medium	catalog_only	User stated BHI brain-heart-infusion contents were inferred by Codex alone
pat_bhi_003	medium_revision	bhis_recipe_additive_stock_solution	recipe_to_export	Recipe includes additive stock solutions such as Hemin-VK1 or Resazurin given in mL/L	Requires decomposition of stock solution into actual supplied compounds	Capture stock-solution composition explicitly before medium export	Stock solution volume is not itself a model-facing compound	/home/andy/Documents/bioreactor/data/dev/diet/bhi/S1_BHIS_YanWang.ods|/home/andy/Documents/bioreactor/media_pipeline/sources/bhisproto/bhisproto_draft_01/source_recipe.tsv	high	catalog_only	Current ingest preserves these rows but does not decompose them yet
pat_cross_001	workflow_provenance	version_to_version_medium_comparison	workflow_provenance	New diagnostic finding should be checked against prior medium versions before proposing change	Prevents rediscovering already-tried changes	Compare flagged compounds against sibling medium versions and report the history	History comparison informs curation but does not decide action	/home/andy/Documents/bioreactor/data/diets/cim.csv|/home/andy/Documents/bioreactor/data/diets/cim16.csv|/home/andy/Documents/bioreactor/data/diets/bhi.csv|/home/andy/Documents/bioreactor/data/diets/bhi2.csv	high	proposal_only	Now partially implemented by diagnostic version-history reporting
